diamond  3 2015年01月29日08时__积雪深度（厘米）                        
   15    1   29    8 1000    1    0    1    0    0    1  749
 53574  112.27   39.52    1409   0.40
 53575  112.20   39.10    1525   3.70
 53576  112.82   39.50    1045   0.01
 53577  112.30   39.00    1437   0.30
 53578  112.43   39.37    1114   0.10
 53579  112.90   39.02     859   0.60
 53580  113.10   39.82    1044   0.60
 53582  113.67   39.72    1079   0.20
 53584  113.17   39.57    1000   0.80
 53585  113.27   39.17     933   1.20
 53590  114.27   39.75     977   0.60
 53593  114.57   39.83     909   1.00
 53602  105.67   38.83    1561   1.00
 53603  106.37   38.83    1095   1.00
 53610  106.35   38.57    1106   1.50
 53614  106.20   38.47    1110   0.80
 53618  106.25   38.28    1113   0.80
 53619  106.30   38.12    1115   0.60
 53646  109.78   38.27    1157   4.80
 53651  110.47   38.82    1098   1.00
 53658  110.48   38.03     894   4.00
 53659  111.00   37.97    1163   6.10
 53660  111.08   39.02     894   1.30
 53662  111.58   38.72    1396   2.40
 53663  111.82   38.92    1401   4.00
 53664  111.13   38.47    1012   4.00
 53665  111.65   38.28    1185   2.70
 53666  111.93   38.35    1212   2.30
 53669  111.80   38.08    1150   2.80
 53673  112.72   38.73     828   0.20
 53674  112.70   38.40     869   0.10
 53677  112.48   37.93     806   2.50
 53678  112.65   38.07     897   1.50
 53679  112.54   37.75     776   2.60
 53685  113.42   38.07     953   1.00
 53687  113.63   37.78     753   1.10
 53693  114.13   38.03     255   0.01
 53698  114.36   38.07     103   0.01
 53704  105.18   37.53    1225   1.90
 53705  105.68   37.48    1183   1.70
 53707  105.25   36.93    1697   1.50
 53723  107.38   37.80    1349   5.40
 53725  107.58   37.58    1360   6.50
 53727  107.12   37.17    1712   5.80
 53730  107.48   38.18    1333   4.00
 53732  108.72   37.85    1209   7.00
 53735  108.80   37.62    1336   0.40
 53738  108.17   36.92    1331   8.00
 53740  109.23   37.93    1111   3.30
 53748  109.70   37.18    1063  10.00
 53750  110.18   37.77     931   5.00
 53751  110.05   37.60     894   7.00
 53754  110.22   37.50     929   9.00
 53756  110.72   37.52     744   3.00
 53759  110.83   36.98    1109   5.80
 53760  111.23   37.88    1212   5.80
 53763  112.17   37.92    1006   0.40
 53764  111.10   37.50     950   3.90
 53769  111.78   37.25     747   2.80
 53772  112.58   37.62     776   2.00
 53774  112.37   37.58     759   3.00
 53775  112.59   37.42     785   2.80
 53776  112.77   37.68     831   1.80
 53777  112.14   37.51     753   3.00
 53778  112.22   37.17     780   0.40
 53780  113.15   37.91    1066   1.60
 53782  113.62   37.93     767   0.20
 53783  113.72   37.60     940   2.20
 53786  113.33   37.09    1152   3.00
 53787  112.98   37.07    1041   0.30
 53788  113.57   37.33    1265   1.00
 53795  114.37   37.65     137   0.01
 53806  105.65   36.57    1854   3.00
 53810  105.90   36.97    1339   2.70
 53817  106.27   36.00    1753   1.20
 53821  107.30   36.57    1255   6.00
 53829  107.90   35.98    1093   4.00
 53832  108.77   36.77    1218   0.90
 53841  109.32   36.88    1068   0.90
 53845  109.45   36.58    1180   1.00
 53848  109.35   36.27    1005   7.30
 53850  110.18   36.88     804   9.00
 53857  110.18   36.07     840   5.20
 53861  111.38   35.88     463   7.10
 53862  111.80   36.85     811   7.00
 53863  111.95   37.07     746   4.30
 53864  111.10   36.40    1030   9.30
 53865  111.55   36.65    1011  10.00
 53868  111.50   36.07     449   6.00
 53869  111.70   36.58     550   7.30
 53871  112.85   36.83     964   3.60
 53872  112.68   36.77     960   2.80
 53873  112.87   36.10     951   5.00
 53874  111.90   36.25     648   4.20
 53875  112.35   36.52    1000   4.00
 53877  112.25   36.17     860  13.80
 53879  112.88   36.32     952   1.00
 53880  113.23   36.33     947   1.20
 53881  106.48   37.28    1382   4.80
 53882  113.03   36.07    1046   4.30
 53884  113.03   36.52     877   0.40
 53885  113.20   36.12    1122   0.30
 53888  113.43   36.20    1089   1.20
 53903  105.72   35.97    1916   1.60
 53906  105.71   35.52    1656   1.00
 53908  105.23   35.22    1768   0.10
 53910  106.20   35.67    2841   2.00
 53913  106.63   35.85    1478   0.10
 53914  106.12   35.62    2078   0.80
 53915  106.67   35.55    1346   1.10
 53916  106.32   35.50    1948   1.20
 53923  107.63   35.73    1421   3.00
 53924  107.62   35.07     966   4.00
 53925  107.18   35.68    1172   0.20
 53926  107.35   35.35    1028   2.00
 53927  106.62   35.20    1477   3.00
 53928  107.02   35.30    1149   1.80
 53929  107.80   35.20    1206   5.00
 53930  107.98   36.45    1271   5.00
 53931  109.37   36.00     984   4.00
 53934  107.98   35.78    1274   5.00
 53935  108.40   35.49    1481   6.00
 53937  107.92   35.52     979   3.00
 53938  108.30   35.17    1277   0.20
 53941  109.58   35.18     804   3.00
 53942  109.41   35.77    1155   3.30
 53944  109.25   35.57     863   2.70
 53945  109.07   35.43    1395   5.00
 53946  109.82   35.60    1091   3.00
 53947  109.07   35.08     978   5.00
 53948  109.58   34.95     499   2.00
 53949  109.92   35.18     679   2.00
 53953  110.85   35.97     965   4.70
 53954  110.97   35.62     433   0.50
 53955  110.45   35.47     458   6.00
 53956  110.83   35.40     588   1.70
 53957  110.72   35.62     459   6.00
 53958  110.78   35.17     435   1.50
 53959  111.07   35.11     375   2.20
 53962  111.70   35.73     584   8.00
 53963  111.37   35.65     433   7.10
 53964  111.22   35.62     430   5.70
 53965  111.57   35.52     761   4.10
 53966  111.83   35.98     817   5.00
 53967  111.20   35.33     468   0.40
 53968  111.67   35.28     505   5.00
 53972  112.90   35.05     117   3.00
 53973  112.95   35.77     837   9.90
 53975  112.40   35.48     659   5.10
 53976  112.87   35.50     752   9.00
 53979  113.08   35.15     120   1.70
 53981  113.27   35.78    1311   4.10
 53982  113.27   35.23     112   3.00
 53983  114.42   35.03      69   2.50
 53984  113.47   35.23      82   0.70
 53985  113.82   35.50     140   0.20
 53988  113.67   35.27      77   0.60
 53989  113.98   35.08      75   0.70
 53997  114.18   35.15      71   0.01
 53998  114.65   35.20      61   0.90
 54039  122.02   44.03     181   0.30
 54041  123.07   44.80     150   0.01
 54047  123.28   44.13     145   2.00
 54049  123.97   44.25     188   3.00
 54063  126.00   44.97     196  12.00
 54064  125.15   44.38     170   4.00
 54065  125.65   44.53     169   5.00
 54069  125.80   44.12     173   8.00
 54072  126.52   44.85     196   4.00
 54076  126.93   44.38     268  32.00
 54092  129.40   44.60     292   3.00
 54093  130.55   44.93     266  10.00
 54094  129.67   44.50     305   4.00
 54098  129.47   44.33     267   8.00
 54099  131.13   44.08     148   3.00
 54102  116.12   43.95    1003   5.00
 54117  117.53   43.25    1003   2.00
 54132  121.07   42.40     400   0.50
 54134  121.28   43.60     241   2.00
